link,title
https://www.youtube.com/watch?v=Tx2nfJ9AXBY,Encryption & Prime Numbers (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=yqPo_adHvFM,Secret Codes (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=ZtBbAvxI8jw,How cameras see the world (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=mFw8U_JqBKg,Kinetic & Potential Energy (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=nzx-d4UldEs,Trigonometry and Reflecting Lasers (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=gv3In0Dml-8,Drone Sensor Programming (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=SWI5KlQP4Jo,The Geometry of Search Patterns (Ultimate Classroom lesson)
https://www.youtube.com/watch?v=4LqKz6L3KsQ,Ultimate Classroom - season 2 trailer!
https://www.youtube.com/watch?v=BLpVvy5yFnY,"""Those Who Can, Teach"" - guest lecture at International Mathematical Olympiad 2025"
https://www.youtube.com/watch?v=Ckvh-FnIuAY,Present Value Tables (3 of 3: Car loan question)
https://www.youtube.com/watch?v=VvthttNhBC8,Present Value Tables (2 of 3: Retirement fund question)
https://www.youtube.com/watch?v=EhTDVnWeUDc,Present Value Tables (1 of 3: Interpreting the values)
https://www.youtube.com/watch?v=W67RuJDZKRg,Future Value Tables (2 of 2: Using the tables)
https://www.youtube.com/watch?v=OMW0IiygRIQ,Future Value Tables (1 of 2: Deriving the values)
https://www.youtube.com/watch?v=R82thNCgBbE,Don't follow your passion - MUSE Sydney
https://www.youtube.com/watch?v=mQPKNxRUqfM,Loan Repayments (2 of 2: Evaluating & interpreting the solution)
https://www.youtube.com/watch?v=TNXMG_gratc,Loan Repayments (1 of 2: Setting up the equations)
https://www.youtube.com/watch?v=PdXajPd0n9c,Y12 Review Questions (Trigonometric equation & exponential graph)
https://www.youtube.com/watch?v=q8egOk1sObY,Financial Model Spreadsheet (5 of 5: Comparing investment models)
https://www.youtube.com/watch?v=MHyX7eQjha4,Financial Model Spreadsheet (4 of 5: Applying model to problems)
https://www.youtube.com/watch?v=nuTF5Z3TjVM,Financial Model Spreadsheet (3 of 5: Visualising present & future value)
https://www.youtube.com/watch?v=NjrtL2KB6FI,Financial Model Spreadsheet (2 of 5: Goal Seeking)
https://www.youtube.com/watch?v=wb-0PwEVzps,Financial Model Spreadsheet (1 of 5: Calculating future value)
https://www.youtube.com/watch?v=xGV_Cv89VwA,Annuities (2 of 2: Considering each deposit separately)
https://www.youtube.com/watch?v=JnjNlEVEMFk,Annuities (1 of 2: Building the progression)
https://www.youtube.com/watch?v=AvASIBfDNZ8,Conversations with the Smith Family podcast
https://www.youtube.com/watch?v=pGMtbNzPeck,Curve sketching (review question)
https://www.youtube.com/watch?v=pCrQk9TZzxk,Effective Annual Rate
https://www.youtube.com/watch?v=abghqEi9y1s,Calculus & Trigonometry (review questions)
https://www.youtube.com/watch?v=_ZMgBW-4bz8,Applying geometric series to a problem
https://www.youtube.com/watch?v=2i-BXHq2x7M,Understanding the parts of Modelling Financial Situations
https://www.youtube.com/watch?v=snKBuNJ9YHc,Review Questions: Arithmetic & Geometric Progressions
https://www.youtube.com/watch?v=HoQVQi1B68Y,Coordinate Geometry Triangle Question (5 of 5: Working Mathematically)
https://www.youtube.com/watch?v=_7zMuukytsc,Coordinate Geometry Triangle Question (4 of 5: Two faster methods)
https://www.youtube.com/watch?v=7aCeYJhNIag,Coordinate Geometry Triangle Question (3 of 5: The isosceles case)
https://www.youtube.com/watch?v=OQheVGsD7EY,Coordinate Geometry Triangle Question (2 of 5: Understanding the area)
https://www.youtube.com/watch?v=B0cfngxSWRY,Coordinate Geometry Triangle Question (1 of 5: Equation of a tangent)
https://www.youtube.com/watch?v=dCD4ripvkz0,How do nature and mathematics shape architecture? | Mathematics of the Sydney Opera House
https://www.youtube.com/watch?v=o_s3zYA0LXM,How do you tile an impossible shape? | Mathematics of the Sydney Opera House
https://www.youtube.com/watch?v=GU2LLmsfajo,What is the Spherical Solution? | Mathematics of the Sydney Opera House
https://www.youtube.com/watch?v=WpC6avfjPtc,How do you acoustically design a performance space? | Mathematics of the Sydney Opera House
https://www.youtube.com/watch?v=RkN_FbnoBSI,Advice for aspiring mathematicians?
https://www.youtube.com/watch?v=ptbMFsa8B7w,Why have such simple lesson videos gotten so much traction?
https://www.youtube.com/watch?v=5XGz6yP63Eg,What are some career paths that utilise mathematics?
https://www.youtube.com/watch?v=8MxqcOtCxjg,What was your journey to get where you are now?
https://www.youtube.com/watch?v=f3qQ9n1zfrU,What is the most difficult mathematics question you've ever solved?
https://www.youtube.com/watch?v=qhvGoIuah3I,Why do you love mathematics?
https://www.youtube.com/watch?v=_jFWu_whDjI,"Dividing fractions: why do we ""keep change flip""?"
https://www.youtube.com/watch?v=lO5KTovme18,Multiplying fractions: why does the rule work?
https://www.youtube.com/watch?v=2ZFzguM2mOg,Integers and Order of Operations
https://www.youtube.com/watch?v=KlxsvY0VKPc,How does depreciation work?
https://www.youtube.com/watch?v=e-B1C3HQRVU,Year 10 Mathematics starter questions
https://www.youtube.com/watch?v=G34vXkOuU8M,Q&A with Cameryn - a mathematics student at the University of Sydney
https://www.youtube.com/watch?v=RF103TkKaPk,Sampling a discrete random variable
https://www.youtube.com/watch?v=v25RsyTsVn8,Integration by Substitution (2 of 2: Definite integrals)
